duration,epoch,eval_f1,eval_loss,train_f1,train_loss
0:00:38.936620,1,0.6261129679144386,0.6625679612159731,0.5044607361064614,0.6941305686687599
0:00:38.646364,2,0.6842956216577541,0.6091948056221007,0.6674312646468028,0.6340653053645432
0:00:38.835370,3,0.6990909090909091,0.5954367017745972,0.6969589575661201,0.6072243046143959
0:00:39.294046,4,0.7079136029411764,0.5881938862800598,0.7042019323317713,0.5986399434763812
0:00:46.554428,5,0.705619986631016,0.5858119654655456,0.71086557373619,0.5928177057669082
0:00:45.988270,6,0.7117638703208555,0.5839248919487,0.716189098070807,0.5892053246498108
0:00:38.551173,7,0.7119276403743316,0.5835179901123047,0.718817676075494,0.5854834621322567
0:00:39.146411,8,0.710891544117647,0.5846670722961426,0.7217934617718444,0.5816721993273704
0:00:38.654763,9,0.7172810828877004,0.5772003602981566,0.7225045509708738,0.5809613897882657
0:00:38.744985,10,0.719090909090909,0.5762932825088501,0.7270803690994307,0.5790137669135786
0:00:38.537295,11,0.7145429478609626,0.5779918551445009,0.7272160481879812,0.5773265007241021
0:00:38.288022,12,0.7224799465240642,0.5740666055679322,0.7301120611190156,0.5759843813961951
0:00:38.432460,13,0.7210887366310159,0.5748394107818603,0.7303497447271512,0.5756590664386749
0:00:39.326463,14,0.7169368315508022,0.5751662468910217,0.7327723520672914,0.5738132077044455
0:00:39.206612,15,0.721598429144385,0.5759603095054626,0.732603979222464,0.5731287218373395
0:00:39.143959,16,0.7149131016042781,0.5756708335876465,0.7383132898811521,0.5708620697259901
0:00:39.153288,17,0.7213694852941177,0.5726054549217223,0.7380053146970206,0.569526845525051
0:00:38.774346,18,0.7210979278074867,0.5746665334701538,0.7448749267659857,0.567259204284898
0:00:38.559439,19,0.7200284090909091,0.5712200963497162,0.7430228254728825,0.5664676217169597
0:00:38.520133,20,0.7203166778074866,0.5731063818931579,0.7457861017534313,0.5654554613705344
0:00:38.423938,21,0.7214513703208557,0.5751129961013794,0.7446401855959154,0.5662112395311224
0:00:38.485724,22,0.718826871657754,0.5769526410102843,0.74871677006612,0.5620120332158846
0:00:38.425672,23,0.7183096590909092,0.575836820602417,0.750837287098259,0.5625045926406467
0:00:38.660440,24,0.7219685828877005,0.5756316328048706,0.752202578360395,0.560469680819018
0:00:38.932196,25,0.71967496657754,0.5762423944473267,0.75740088560847,0.5577383041381837
0:00:38.812690,26,0.7230865641711229,0.5721554636955262,0.7578059612487444,0.555767830589722
0:00:38.662556,27,0.7163861965240642,0.5788464856147767,0.7602844749121193,0.5548690518942371
0:00:38.622752,28,0.7226270053475936,0.5749136757850646,0.7626263286742548,0.5548274856189201
0:00:38.513101,29,0.7150601604278074,0.5814733457565306,0.7656367697522599,0.5523366242133337
0:00:38.427700,30,0.7182520053475937,0.5773171138763428,0.7656907144501172,0.5515403051314685
